Price,Close,High,Low,Open,Volume
Ticker,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS
Date,,,,,
2021-03-10,156.67120361328125,158.92192133916197,155.4579206391935,158.60541600356868,23491604
2021-03-12,160.90890502929688,163.17721325648145,158.6054378850714,160.71548805649144,52792772
2021-03-15,161.9639129638672,163.52887096819083,158.71091929406984,163.33545401586724,33839076
2021-03-16,159.60769653320312,163.73987767024025,158.97467511114667,163.37061249097343,30782874
2021-03-17,151.94117736816406,157.09322463314774,151.25541756695364,155.44034786296422,57699598
2021-03-18,150.13006591796875,154.20949835148602,149.03987119479956,152.9786357648721,26361962
2021-03-19,152.25770568847656,154.1743281268276,147.42217411626484,149.8135599827052,26622950
2021-03-22,154.50840759277344,155.44034416131396,152.7500326588219,154.12156296085033,27343862
2021-03-23,153.5061492919922,155.51070123888502,153.01380640062538,155.4051922914185,17089478
2021-03-24,151.20265197753906,153.50611865180093,150.74546809431268,152.96102676163758,10317086
2021-03-25,149.06781005859375,152.00326631148835,147.69792830220013,151.7364066521343,20898974
2021-03-26,150.93580627441406,153.63997508563392,149.93952383894998,151.54068156806238,19204862
2021-03-30,153.2841796875,154.3872017535823,149.9751243478001,152.60813740781956,17153798
2021-03-31,152.27011108398438,153.40870567078397,151.39836527190275,153.17742949366425,10018670
2021-04-01,155.63253784179688,156.53986712106382,152.3056855349109,153.21301481417785,9156394
2021-04-05,152.30569458007812,155.49022410832416,149.8328016500053,154.4583689575756,11510442
2021-04-06,152.32345581054688,154.316009583231,150.97136070904415,152.999497932026,9190874
2021-04-07,152.35906982421875,153.53324790977402,152.1099964807147,152.64371576661193,7430944
2021-04-08,153.1952362060547,155.1344208095937,152.7504700913483,152.83942331428955,6708234
2021-04-09,151.43394470214844,153.80009788247736,151.042548412057,152.99951900396823,8179184
2021-04-12,143.73060607910156,149.22790813388653,143.03676667346096,148.71198601300318,12368094
2021-04-13,145.66976928710938,146.7727912231623,143.10792344634163,144.1041950191048,8064312
2021-04-15,144.05081176757812,148.16044519329026,143.499295421962,145.52743269040508,14440358
